# Primary-minimum epochs of the 26 targets of Walitte (this paper), Sect. 3.1-3.3.
# One row per epoch entering the quadratic fits of Table 3; 145 rows, 26 targets.
#
# Columns (unit in brackets; an empty field means the quantity does not apply to that row):
#   TIC                    [---] TESS Input Catalog identifier
#   source                 [---] TESS sector (2-min cadence; epoch of the whole sector) or SuperWASP season
#                                (label = first JD of the season)
#   E                      [ct]  cycle number, counted from the first TESS sector of the target
#   BJD_TDB                [d]   time of primary minimum, barycentric Julian date in the TDB scale
#   sigma_min              [min] uncertainty used in the fits
#   sigma_formal_min       [min] formal (photon-noise) uncertainty, from Delta chi2 = 1
#   sigma_halves_min       [min] |t_a - t_b|/2 of the two halves of the sector (TESS rows only)
#   season_dispersion_min  [min] standard deviation (ddof = 1) of the target's season deviations (SuperWASP rows only)
#   P_d                    [d]   period of the ladder used to count cycles
#
# sigma_min = max(sigma_formal, sigma_halves) for TESS rows and
#   hypot(max(sigma_formal, season_dispersion), 0.75 min) for SuperWASP rows (Sect. 3.3-3.4).
# The SuperWASP epochs already have the chain bias of -1.26 min removed, i.e. +1.26 min applied to the raw fit;
#   the 0.75 min is the uncertainty of that bias, added in quadrature.
# Times are as produced by the chain: HJD_UTC converted to BJD_TDB for SuperWASP, BTJD + 2457000 for TESS.
TIC,source,E,BJD_TDB,sigma_min,sigma_formal_min,sigma_halves_min,season_dispersion_min,P_d
115244268,SuperWASP 2453939,-2543,2453938.850971,2.423192,1.862344,,2.301336,2.009001
115244268,SuperWASP 2454319,-2354,2454318.549833,2.423192,1.464562,,2.301336,2.009001
115244268,TESS s27,0,2459047.734069,0.582187,0.249509,0.582187,,2.009001
115244268,TESS s28,13,2459073.850594,0.415848,0.332678,0.415848,,2.009001
115244268,TESS s105,1081,2461219.463447,0.332678,0.332678,0.000000,,2.009001
126763885,SuperWASP 2453939,-1172,2453940.513566,8.636456,3.529445,,8.596281,4.357339
126763885,SuperWASP 2454320,-1085,2454319.593638,8.636456,4.313766,,8.596281,4.357339
126763885,TESS s27,0,2459047.317687,0.400009,0.400009,0.133336,,4.357339
126763885,TESS s105,498,2461217.272634,2.000043,0.400009,2.000043,,4.357339
126945917,SuperWASP 2453937,-3811,2453936.949803,1.664916,0.506927,,1.485015,1.341078
126945917,SuperWASP 2454299,-3541,2454299.039331,1.664916,1.219040,,1.485015,1.341078
126945917,TESS s27,0,2459047.792136,0.492435,0.492435,0.328290,,1.341078
126945917,TESS s28,19,2459073.272859,0.492435,0.492435,0.164145,,1.341078
126945917,TESS s95,1377,2460894.456603,0.656580,0.656580,0.328290,,1.341078
126945917,TESS s105,1619,2461218.996856,0.656580,0.656580,0.656580,,1.341078
139256217,SuperWASP 2453960,-2325,2453959.897266,19.974831,4.235700,,19.734016,2.199221
139256217,SuperWASP 2454341,-2152,2454340.343107,19.974831,2.889776,,19.734016,2.199221
139256217,TESS s28,0,2459073.083820,0.760053,0.760053,0.633377,,2.199221
139256217,TESS s105,976,2461219.523449,1.520105,0.633377,1.520105,,2.199221
144194304,SuperWASP 2453943,-10612,2453942.625582,2.613037,0.570012,,2.502879,0.483471
144194304,SuperWASP 2454315,-9842,2454314.897953,2.613037,0.583065,,2.502879,0.483471
144194304,SuperWASP 2454607,-9237,2454607.394555,2.613037,0.809330,,2.502879,0.483471
144194304,TESS s28,0,2459073.194637,0.400000,0.400000,0.100000,,0.483471
144194304,TESS s105,4438,2461218.836726,0.350000,0.350000,0.100000,,0.483471
198388252,SuperWASP 2453202,-14237,2453202.527914,4.948551,0.789529,,4.891238,0.395160
198388252,SuperWASP 2454319,-11411,2454319.256067,4.948551,2.133863,,4.891238,0.395160
198388252,SuperWASP 2454640,-10599,2454640.122680,4.948551,0.764634,,4.891238,0.395160
198388252,TESS s19,0,2458828.400152,0.500000,0.350000,0.500000,,0.395160
198388252,TESS s20,69,2458855.666261,0.650000,0.500000,0.650000,,0.395160
198388252,TESS s21,141,2458884.118964,0.150000,0.150000,0.150000,,0.395160
198388252,TESS s75,3860,2460353.717793,0.200000,0.200000,0.050000,,0.395160
198408416,SuperWASP 2453231,-15348,2453230.655996,3.105791,1.333153,,3.013649,0.364735
198408416,SuperWASP 2454319,-12363,2454319.386762,3.105791,0.860046,,3.013649,0.364735
198408416,SuperWASP 2454640,-11484,2454639.990981,3.105791,0.315131,,3.013649,0.364735
198408416,TESS s19,0,2458828.598102,0.300000,0.300000,0.250000,,0.364735
198408416,TESS s20,74,2458855.588426,0.250000,0.250000,0.200000,,0.364735
198408416,TESS s21,153,2458884.402558,0.250000,0.250000,0.150000,,0.364735
198408416,TESS s75,4181,2460353.556444,0.250000,0.250000,0.150000,,0.364735
199688409,SuperWASP 2453942,-5628,2453941.977051,3.338206,3.252725,,1.423758,0.868262
199688409,SuperWASP 2454257,-5265,2454257.157535,1.609499,0.421975,,1.423758,0.868262
199688409,SuperWASP 2454630,-4835,2454630.510480,1.609499,0.468861,,1.423758,0.868262
199688409,TESS s19,0,2458828.558018,0.459485,0.459485,0.000000,,0.868262
199688409,TESS s20,31,2458855.474499,0.459485,0.459485,0.344614,,0.868262
199688409,TESS s21,64,2458884.127029,0.459485,0.459485,0.229742,,0.868262
199688409,TESS s75,1756,2460353.225820,0.344614,0.344614,0.000000,,0.868262
207496824,SuperWASP 2454256,-5697,2454255.667774,2.672796,1.090870,,2.564394,0.802701
207496824,SuperWASP 2454630,-5230,2454630.531428,2.672796,1.314824,,2.564394,0.802701
207496824,TESS s19,0,2458828.643409,0.762886,0.762886,0.208060,,0.802701
207496824,TESS s75,1900,2460353.774367,1.387066,0.624180,1.387066,,0.802701
224605072,SuperWASP 2453942,-7349,2453941.925194,157.063548,0.999292,,157.061655,0.664865
224605072,SuperWASP 2454259,-6872,2454259.253867,157.063548,1.735297,,157.061655,0.664865
224605072,SuperWASP 2454635,-6306,2454635.568677,157.063548,2.874459,,157.061655,0.664865
224605072,TESS s19,0,2458828.181603,0.611553,0.611553,0.087365,,0.664865
224605072,TESS s20,41,2458855.440540,0.698917,0.611553,0.698917,,0.664865
224605072,TESS s21,84,2458884.029957,0.524188,0.524188,0.087365,,0.664865
224605072,TESS s75,2294,2460353.380964,0.524188,0.524188,0.000000,,0.664865
229461186,SuperWASP 2454630,-10495,2454629.533589,1.385890,1.043711,,1.163398,0.402666
229461186,SuperWASP 2454671,-10393,2454670.604391,1.385890,0.496487,,1.163398,0.402666
229461186,TESS s20,0,2458855.505534,0.300000,0.300000,0.050000,,0.402666
229461186,TESS s21,71,2458884.095161,0.300000,0.250000,0.300000,,0.402666
229461186,TESS s75,3724,2460355.034249,1.650000,0.250000,1.650000,,0.402666
229476285,SuperWASP 2454633,-3851,2454633.188853,358.666940,6.907567,,358.653609,1.096439
229476285,SuperWASP 2454671,-3817,2454670.820019,358.666940,6.907567,,358.653609,1.096439
229476285,TESS s20,0,2458855.593290,0.481566,0.481566,0.180587,,1.096439
229476285,TESS s21,26,2458884.100809,0.300979,0.300979,0.060196,,1.096439
229476285,TESS s75,1367,2460354.425819,0.361175,0.361175,0.180587,,1.096439
229687624,SuperWASP 2453209,-9099,2453209.063931,2.284658,2.157356,,1.519424,0.617601
229687624,SuperWASP 2454319,-7301,2454319.511575,2.868410,2.768086,,1.519424,0.617601
229687624,SuperWASP 2454640,-6782,2454640.046080,1.695325,0.778177,,1.519424,0.617601
229687624,TESS s19,0,2458828.612745,0.522490,0.522490,0.208996,,0.617601
229687624,TESS s20,44,2458855.787829,0.626988,0.626988,0.052249,,0.617601
229687624,TESS s21,90,2458884.196518,1.306225,0.522490,1.306225,,0.617601
229687624,TESS s75,2469,2460353.468656,0.417992,0.417992,0.313494,,0.617601
229914020,SuperWASP 2454630,-6251,2454630.105958,2.199235,2.067110,,0.610910,0.676023
229914020,SuperWASP 2454671,-6191,2454670.666749,1.297857,1.058652,,0.610910,0.676023
229914020,TESS s20,0,2458855.919610,0.350000,0.250000,0.350000,,0.676023
229914020,TESS s21,42,2458884.311652,0.200000,0.200000,0.150000,,0.676023
229914020,TESS s75,2215,2460353.310264,0.450000,0.200000,0.450000,,0.676023
230386284,SuperWASP 2454630,-12373,2454630.313484,1.183830,0.915886,,0.573739,0.341494
230386284,SuperWASP 2454671,-12255,2454670.609172,1.091500,0.792948,,0.573739,0.341494
230386284,TESS s20,0,2458855.605156,0.150000,0.150000,0.000000,,0.341494
230386284,TESS s21,84,2458884.290593,0.100000,0.100000,0.050000,,0.341494
230386284,TESS s75,4387,2460353.737791,0.100000,0.100000,0.000000,,0.341494
232634196,SuperWASP 2453202,-4497,2453202.695526,19.888343,1.407470,,19.874064,1.251085
232634196,SuperWASP 2454318,-3605,2454318.689448,19.888343,1.069677,,19.874064,1.251085
232634196,SuperWASP 2454640,-3348,2454640.211881,19.888343,0.912041,,19.874064,1.251085
232634196,TESS s19,0,2458828.924673,0.626052,0.626052,0.469539,,1.251085
232634196,TESS s20,21,2458855.198271,1.095591,0.782565,1.095591,,1.251085
232634196,TESS s21,44,2458883.973205,0.626052,0.626052,0.626052,,1.251085
232634196,TESS s75,1219,2460353.997275,0.782565,0.782565,0.469539,,1.251085
237116051,SuperWASP 2453202,-2284,2453203.476084,1.322970,1.086158,,0.000000,2.462943
237116051,SuperWASP 2454320,-1831,2454319.195476,1.886771,1.728986,,0.000000,2.462943
237116051,TESS s19,0,2458828.840569,0.498746,0.498746,0.299248,,2.462943
237116051,TESS s75,619,2460353.402362,0.498746,0.498746,0.398997,,2.462943
243352373,SuperWASP 2454274,-13707,2454273.606038,5.881541,0.490414,,5.833478,0.334297
243352373,SuperWASP 2454650,-12581,2454650.030321,5.881541,0.312902,,5.833478,0.334297
243352373,TESS s20,0,2458855.824398,0.450000,0.300000,0.450000,,0.334297
243352373,TESS s75,4486,2460355.481264,0.400000,0.400000,0.050000,,0.334297
329246824,SuperWASP 2453202,-9574,2453202.281092,4.828654,0.513046,,4.770036,0.587681
329246824,SuperWASP 2454320,-7673,2454319.468502,4.828654,1.052537,,4.770036,0.587681
329246824,SuperWASP 2454640,-7128,2454639.754606,4.828654,0.338504,,4.770036,0.587681
329246824,TESS s19,0,2458828.760331,0.344851,0.344851,0.086213,,0.587681
329246824,TESS s20,46,2458855.793671,0.344851,0.344851,0.258639,,0.587681
329246824,TESS s21,94,2458884.002253,0.344851,0.344851,0.086213,,0.587681
329246824,TESS s75,2595,2460353.792586,0.344851,0.344851,0.000000,,0.587681
329248002,SuperWASP 2454264,-1469,2454262.982510,5.945611,2.825995,,5.895915,3.108905
329248002,SuperWASP 2454632,-1350,2454632.936403,5.945611,1.538908,,5.895915,3.108905
329248002,TESS s19,0,2458829.957386,0.615563,0.615563,0.307782,,3.108905
329248002,TESS s20,8,2458854.828199,0.769454,0.769454,0.153891,,3.108905
